domain,severity,reject_media,reject_reports,public_comment,obfuscate
0.01010011.xyz,suspend,False,False,,False
0.0n.ee,suspend,False,False,,False
0001.misskey.one,suspend,False,False,,False
001.testing.cawfee.club,suspend,False,False,,False
014450.xyz,suspend,False,False,,False
02.owncast.net,suspend,False,False,,False
0371.uk,suspend,False,False,,False
0503japan.wordpress.com,suspend,False,False,,False
0503jp.wordpress.com,suspend,False,False,,False
0ab.uk,suspend,False,False,,False
0ch.tv,suspend,False,False,,False
0d.gs,suspend,False,False,,False
0rb.it,suspend,False,False,,False
0taku.xyz,suspend,False,False,,False
0v0.ch,suspend,False,False,,False
0v0.social,suspend,False,False,,False
0x3c.pl,suspend,False,False,,False
0x40.au,suspend,False,False,,False
0x4655.co.uk,suspend,False,False,,False
0x50.ch,suspend,False,False,,False
0xdd.org.ru,suspend,False,False,,False
0xee.io,suspend,False,False,,False
1-renaissance-woman.com,suspend,False,False,,False
1.test.jorisgutjahr.eu,suspend,False,False,,False
1000leaps.com,suspend,False,False,,False
1001otheralbums.com,suspend,False,False,,False
100terres.social,suspend,False,False,,False
101010.pl,suspend,False,False,,False
10211104.fedicity.net,suspend,False,False,,False
103.social,suspend,False,False,,False
10mb.social,suspend,False,False,,False
10thstreet.media,suspend,False,False,,False
1132don.com,suspend,False,False,,False
114514.misskey.one,suspend,False,False,,False
1210.nl,suspend,False,False,,False
1234.as,suspend,False,False,,False
128bit.noblogs.org,suspend,False,False,,False
128k.site,suspend,False,False,,False
1328.beercore.de,suspend,False,False,,False
1337lemmy.com,suspend,False,False,,False
13bells.com,suspend,False,False,,False
13mmy.io,suspend,False,False,,False
14141004.xyz,suspend,False,False,,False
1435.es,suspend,False,False,,False
15-15-15.social,suspend,False,False,,False
16bit.picopico.party,suspend,False,False,,False
1745.info,suspend,False,False,,False
184.im,suspend,False,False,,False
1964.co.nz,suspend,False,False,,False
19marbles.org,suspend,False,False,,False
1a23.com,suspend,False,False,,False
1foo.net,suspend,False,False,,False
1m2lab.anvil.top,suspend,False,False,,False
1password.social,suspend,False,False,,False
1uca.com,suspend,False,False,,False
2-blog.net,suspend,False,False,,False
200418.xyz,suspend,False,False,,False
2023.wp-devil.com,suspend,False,False,,False
212techelp.wordpress.com,suspend,False,False,,False
21te473.ditu.jp,suspend,False,False,,False
21te477.edu2web.com,suspend,False,False,,False
21te495.ditu.jp,suspend,False,False,,False
21te495.edu2web.com,suspend,False,False,,False
2248.live,suspend,False,False,,False
22x22.ru,suspend,False,False,,False
23.illuminati.org,suspend,False,False,,False
23.social,suspend,False,False,,False
230029.xyz,suspend,False,False,,False
246135.xyz,suspend,False,False,,False
254cookie.wordpress.com,suspend,False,False,,False
255battementsparminute.home.blog,suspend,False,False,,False
25ji.nightcord.de,suspend,False,False,,False
2740.sumomo.ne.jp,suspend,False,False,,False
280562.com,suspend,False,False,,False
285936586.masto.host,suspend,False,False,,False
2beehanson.wordpress.com,suspend,False,False,,False
2c.taoetc.org,suspend,False,False,,False
2done.club,suspend,False,False,,False
2ko.moe,suspend,False,False,,False
2nx.io,suspend,False,False,,False
2pxnl.de,suspend,False,False,,False
2sheds.online,suspend,False,False,,False
2wen0.wordpress.com,suspend,False,False,,False
30d.org,suspend,False,False,,False
333thats33s.cc,suspend,False,False,,False
338338.xyz,suspend,False,False,,False
3615.computer,suspend,False,False,,False
365temasinstrumentaisbrasileiros.wordpress.com,suspend,False,False,,False
366.koyomi.online,suspend,False,False,,False
36photos.de,suspend,False,False,,False
386898.xyz,suspend,False,False,,False
39sounds.net,suspend,False,False,,False
3dctube.3dcandy.social,suspend,False,False,,False
3dp.chat,suspend,False,False,,False
3pillarsblog.wordpress.com,suspend,False,False,,False
3rdofjune.com,suspend,False,False,,False
3rdstone.cc,suspend,False,False,,False
3rdwall.net,suspend,False,False,,False
3t.au,suspend,False,False,,False
3v.is,suspend,False,False,,False
3xhelix.com,suspend,False,False,,False
3zi.ru,suspend,False,False,,False
41020.social,suspend,False,False,,False
4232.cf,suspend,False,False,,False
430022.xyz,suspend,False,False,,False
433.world,suspend,False,False,,False
438punk.house,suspend,False,False,,False
4458644.xyz,suspend,False,False,,False
451.place,suspend,False,False,,False
45sukey.net,suspend,False,False,,False
4bear.com,suspend,False,False,,False
4four.org,suspend,False,False,,False
4liberty.one,suspend,False,False,,False
503junk.house,suspend,False,False,,False
5280.city,suspend,False,False,,False
56kbits.cloud,suspend,False,False,,False
5daccess.wordpress.com,suspend,False,False,,False
5dollah.click,suspend,False,False,,False
5edmettaleb.com,suspend,False,False,,False
5hanayome.cyou,suspend,False,False,,False
5lb.co,suspend,False,False,,False
60228.dev,suspend,False,False,,False
60jj.masto.host,suspend,False,False,,False
60lineas.wordpress.com,suspend,False,False,,False
62ki.net,suspend,False,False,,False
6502.social,suspend,False,False,,False
6510.nu,suspend,False,False,,False
666.glitchwit.ch,suspend,False,False,,False
67nb.com,suspend,False,False,,False
6t.vc,suspend,False,False,,False
6work.exmosis.net,suspend,False,False,,False
7.62x54r.ru,suspend,False,False,,False
7144.party,suspend,False,False,,False
74fronts.wordpress.com,suspend,False,False,,False
7700japan.wordpress.com,suspend,False,False,,False
7700japancom.wordpress.com,suspend,False,False,,False
7700jp.wordpress.com,suspend,False,False,,False
7minutemiles.com,suspend,False,False,,False
7rg.de,suspend,False,False,,False
7snowrin.net,suspend,False,False,,False
7td.org,suspend,False,False,,False
802.3ether.net,suspend,False,False,,False
80chars.io,suspend,False,False,,False
829.hu,suspend,False,False,,False
84bami.net,suspend,False,False,,False
8633.pm,suspend,False,False,,False
8bit.red,suspend,False,False,,False
8bit.social,suspend,False,False,,False
8fe44c1.kur0den.net,suspend,False,False,,False
8shiki.moo.jp,suspend,False,False,,False
8stars.org,suspend,False,False,,False
907.life,suspend,False,False,,False
915.social,suspend,False,False,,False
9600bps.com,suspend,False,False,,False
9ineverse.com,suspend,False,False,,False
9kb.me,suspend,False,False,,False
a-l-e-x.cz,suspend,False,False,,False
a-social.techtransthai.org,suspend,False,False,,False
a.brody.zone,suspend,False,False,,False
a.dags.dk,suspend,False,False,,False
a.doskel.net,suspend,False,False,,False
a.farook.org,suspend,False,False,,False
a.gawlinski.com,suspend,False,False,,False
a.gup.pe,suspend,False,False,,False
a.jerl.zone,suspend,False,False,,False
a.katgirl.club,suspend,False,False,,False
a.kretschmann.social,suspend,False,False,,False
a.lufimianet.jp,suspend,False,False,,False
a.rathersafe.social,suspend,False,False,,False
a.sukazyo.cc,suspend,False,False,,False
a.xerimorph.net,suspend,False,False,,False
a1.miclear.casa,suspend,False,False,,False
a11y.info,suspend,False,False,,False
a11y.report,suspend,False,False,,False
a11y.social,suspend,False,False,,False
a16zw.com,suspend,False,False,,False
a17k.social,suspend,False,False,,False
a1computers.social,suspend,False,False,,False
a1pesticides.wordpress.com,suspend,False,False,,False
a2mi.social,suspend,False,False,,False
aa.nikola.love,suspend,False,False,,False
aachen.social,suspend,False,False,,False
aachennews.org,suspend,False,False,,False
aadils.computer,suspend,False,False,,False
aaltomies.wordpress.com,suspend,False,False,,False
aana.site,suspend,False,False,,False
aaron.place,suspend,False,False,,False
aaronparecki.com,suspend,False,False,,False
aaronrosspowell.com,suspend,False,False,,False
aarushsethi2012.wordpress.com,suspend,False,False,,False
ababil.au,suspend,False,False,,False
abakdash.com,suspend,False,False,,False
abando.social,suspend,False,False,,False
abandoned.systems,suspend,False,False,,False
abc.mika.xyz,suspend,False,False,,False
abcofspiritalk.net,suspend,False,False,,False
abdl.link,suspend,False,False,,False
abend.social,suspend,False,False,,False
aberrantwinds.bond,suspend,False,False,,False
abikewithnowheels.com,suspend,False,False,,False
abitmu.ch,suspend,False,False,,False
abolish.social,suspend,False,False,,False
abolitionmedia.noblogs.org,suspend,False,False,,False
about-the-author.online,suspend,False,False,,False
about.krivosik.cz,suspend,False,False,,False
about.to.be.nota.live,suspend,False,False,,False
aboutemilywoo.wordpress.com,suspend,False,False,,False
abouthere.uk,suspend,False,False,,False
abpe.org,suspend,False,False,,False
abraham.social,suspend,False,False,,False
abraham.su,suspend,False,False,,False
abraum.social,suspend,False,False,,False
abs.17oc.com,suspend,False,False,,False
absurd.social,suspend,False,False,,False
abypom.work,suspend,False,False,,False
abyss.fun,suspend,False,False,,False
abyss.kartonrad.de,suspend,False,False,,False
abyssdomain.expert,suspend,False,False,,False
academe.social,suspend,False,False,,False
academia.pub,suspend,False,False,,False
academiccloud.social,suspend,False,False,,False
academictalk.org,suspend,False,False,,False
acaibialem.wordpress.com,suspend,False,False,,False
acarson.wtf,suspend,False,False,,False
acc4e.com,suspend,False,False,,False
accessibility.social,suspend,False,False,,False
accessnow.social,suspend,False,False,,False
accioly.social,suspend,False,False,,False
accountingandthelump.blog,suspend,False,False,,False
acegiak.net,suspend,False,False,,False
acespace.social,suspend,False,False,,False
acetennis.fr,suspend,False,False,,False
acg.mn,suspend,False,False,,False
acg.ngo,suspend,False,False,,False
acgn.ca,suspend,False,False,,False
achi.masto.host,suspend,False,False,,False
achrilock.social,suspend,False,False,,False
acillba-coeur.com,suspend,False,False,,False
acillba-lux.com,suspend,False,False,,False
ack.nerdfight.online,suspend,False,False,,False
aclevo.com,suspend,False,False,,False
aconaway.com,suspend,False,False,,False
acqrs.co.uk,suspend,False,False,,False
acra.network,suspend,False,False,,False
activity.imouto.wiki,suspend,False,False,,False
activity.kammeyer.me,suspend,False,False,,False
activitypub-dev.hakatashi.com,suspend,False,False,,False
activitypub.academy,suspend,False,False,,False
activitypub.chariz.com,suspend,False,False,,False
activitypub.cyou,suspend,False,False,,False
activitypub.garmy.jp,suspend,False,False,,False
activitypub.lacolaco.net,suspend,False,False,,False
activitypub.owenryan.us,suspend,False,False,,False
activitypub.studentmain.com,suspend,False,False,,False
activitypup.de,suspend,False,False,,False
activityrelay.beep.computer,suspend,False,False,,False
activityrelay.krbonne.net,suspend,False,False,,False
actsofvolition.com,suspend,False,False,,False
actuallyruben.nl,suspend,False,False,,False
actuwebmaster.wordpress.com,suspend,False,False,,False
ad-astra.moe,suspend,False,False,,False
ada.junoai.org,suspend,False,False,,False
adam.mountainfold.co,suspend,False,False,,False
adam.retchless.us,suspend,False,False,,False
adambindslev.dk,suspend,False,False,,False
adamisacson.com,suspend,False,False,,False
adamkobydg.wordpress.com,suspend,False,False,,False
adapulawska.org,suspend,False,False,,False
addconfetti.blog,suspend,False,False,,False
additionalknowledge.com,suspend,False,False,,False
adeci.art,suspend,False,False,,False
ademcoskunseo.wordpress.com,suspend,False,False,,False
adforward.org,suspend,False,False,,False
adhd.analogdreams.blog,suspend,False,False,,False
adhd.energy,suspend,False,False,,False
adhd.recipes,suspend,False,False,,False
adida.net,suspend,False,False,,False
adinfinitum.social,suspend,False,False,,False
adistance.tk,suspend,False,False,,False
adityadamase.wordpress.com,suspend,False,False,,False
adney.land,suspend,False,False,,False
adsei.org,suspend,False,False,,False
adstratthaus.blog,suspend,False,False,,False
adtech.land,suspend,False,False,,False
adtech.life,suspend,False,False,,False
adulthood.lol,suspend,False,False,,False
adultsocial.inet.party,suspend,False,False,,False
adultswim.fan,suspend,False,False,,False
adunews.ca,suspend,False,False,,False
advancedweightlossresources.com,suspend,False,False,,False
advent.bibliothekarisch.info,suspend,False,False,,False
advent.social,suspend,False,False,,False
adventistgospelnetwork.wordpress.com,suspend,False,False,,False
adventures.social,suspend,False,False,,False
adventurousbeastie.eu,suspend,False,False,,False
adxm.social,suspend,False,False,,False
aeracode.org,suspend,False,False,,False
aes.id.au,suspend,False,False,,False
aeternam.hostdon.ne.jp,suspend,False,False,,False
aether.run,suspend,False,False,,False
aethernet.social,suspend,False,False,,False
aethy.com,suspend,False,False,,False
aethyria.tech,suspend,False,False,,False
afallen.cymru,suspend,False,False,,False
afcolegiado.app,suspend,False,False,,False
affable-accountbc552af501.wordpress.com,suspend,False,False,,False
